,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2021-05-28,5,2021-05-28,22.48,22.746666666666663,59.4,1002.5933333333334,24.266666666666666,4.953333333333332,201.0,213.53333333333333,361.6666666666667
2021-05-29,5,2021-05-29,21.813333333333333,20.700000000000003,69.2,1005.9533333333334,287.8,3.2066666666666666,311.53333333333336,167.33333333333334,441.2
2021-05-30,5,2021-05-30,22.35333333333333,32.94666666666667,69.4,1004.0266666666669,259.2,2.826666666666667,0.0,95.33333333333333,95.33333333333333
2021-05-31,5,2021-05-31,20.513333333333335,24.853333333333335,69.6,1004.4866666666666,305.46666666666664,4.033333333333334,1.1333333333333333,200.66666666666666,201.66666666666666
2021-06-01,6,2021-06-01,19.819999999999997,14.633333333333335,62.06666666666667,1004.5933333333334,260.3333333333333,3.3600000000000003,600.0,99.06666666666666,547.6666666666666
2021-06-02,6,2021-06-02,19.973333333333333,17.813333333333336,62.666666666666664,1005.1533333333332,240.66666666666666,4.026666666666667,418.4,175.33333333333334,498.6666666666667
2021-06-03,6,2021-06-03,19.653333333333332,20.006666666666664,65.4,1008.4133333333333,329.8,3.9666666666666672,27.266666666666666,288.2,307.73333333333335
2021-06-04,6,2021-06-04,19.84,24.926666666666666,65.53333333333333,1009.7533333333333,322.0,3.5533333333333337,123.46666666666667,264.8,379.06666666666666
2021-06-05,6,2021-06-05,20.720000000000002,17.926666666666666,63.06666666666667,1011.08,292.6666666666667,3.3733333333333335,613.6,106.0,551.5333333333333
2021-06-06,6,2021-06-06,22.839999999999996,15.839999999999998,65.33333333333333,1007.14,20.333333333333332,4.926666666666666,405.6,180.33333333333334,480.4
2021-06-07,6,2021-06-07,23.83333333333333,20.60666666666667,61.93333333333333,1005.0133333333334,315.53333333333336,2.2266666666666666,299.73333333333335,197.6,398.93333333333334
2021-06-08,6,2021-06-08,23.493333333333332,23.11333333333334,62.53333333333333,1007.2733333333332,274.8,4.206666666666667,8.333333333333334,219.4,227.13333333333333
2021-06-09,6,2021-06-09,24.56,20.92,55.46666666666667,1007.9799999999999,309.73333333333335,2.566666666666667,268.2,229.46666666666667,459.2
2021-06-10,6,2021-06-10,25.42666666666667,23.419999999999998,48.13333333333333,1005.4466666666667,89.93333333333334,3.7066666666666666,254.53333333333333,242.13333333333333,455.46666666666664
2021-06-11,6,2021-06-11,22.74666666666667,19.546666666666667,65.26666666666667,1005.0466666666666,331.3333333333333,3.5933333333333333,118.0,293.73333333333335,395.93333333333334
2021-06-12,6,2021-06-12,21.253333333333334,17.44,65.06666666666666,1006.2399999999999,314.1333333333333,3.0799999999999996,392.6666666666667,144.53333333333333,475.06666666666666
2021-06-13,6,2021-06-13,21.673333333333336,19.206666666666663,66.86666666666666,1008.7466666666668,309.8666666666667,2.92,518.4666666666667,127.53333333333333,528.4
2021-06-14,6,2021-06-14,22.020000000000003,20.90666666666667,66.6,1008.5399999999998,240.66666666666666,3.013333333333333,130.2,222.26666666666668,334.46666666666664
2021-06-15,6,2021-06-15,21.199999999999996,25.64,69.26666666666667,1006.0066666666665,274.4,3.0066666666666664,210.8,253.6,389.73333333333335
2021-06-16,6,2021-06-16,21.426666666666662,21.766666666666662,62.13333333333333,1004.8266666666666,264.6,5.159999999999999,333.1333333333333,188.0,429.93333333333334
2021-06-17,6,2021-06-17,21.493333333333332,28.64666666666667,68.8,1005.2933333333333,264.73333333333335,5.1866666666666665,105.2,237.33333333333334,319.6
2021-06-18,6,2021-06-18,19.6,20.940000000000005,66.86666666666666,1006.86,296.93333333333334,4.906666666666666,91.4,279.6,335.1333333333333
2021-06-19,6,2021-06-19,19.553333333333335,18.25333333333333,62.06666666666667,1008.3666666666668,258.06666666666666,4.586666666666667,385.4,174.2,471.1333333333333
2021-06-20,6,2021-06-20,20.093333333333337,20.06,57.733333333333334,1007.5733333333335,254.4,3.186666666666667,625.3333333333334,95.8,553.9333333333333
2021-06-21,6,2021-06-21,20.520000000000003,27.94666666666667,69.06666666666666,1006.7066666666669,309.26666666666665,3.8066666666666666,188.06666666666666,198.86666666666667,333.26666666666665
